Nom;Prénom;Sexe;Date de naissance;Nationalité;Titre de séjour;Date d'entrée;Date de sortie;Type de contrat;Statut;Emploi;Temps de travail;Salaire mensuel brut;Coefficient;Observations
D'ANGELO;Maria-Luisa;F;14/03/1979;Italienne;;01/09/2008;;CDI;Cadre;Directrice d'agence;Temps plein;5 480,00;K;Apostrophe dans le nom, prénom composé
LE GOFF;Yann;H;22/11/1985;Française;;15/01/2013;;CDI;Cadre;Responsable des risques;Temps plein;4 950;J;Particule séparée
N'DIAYE;Aïssatou;Femme;03/07/1991;Sénégalaise;Carte de résident;01/04/2017;;CDI;Employé;Chargée de clientèle particuliers;Temps plein;2 640,75;D;Apostrophe + tréma
VAN DEN BERGHE;Pieter-Jan;Homme;19/05/1968;Belge;;01/02/1998;;CDI;Cadre;Directeur des engagements;Temps plein;7 120;K;Nom en trois mots
MÜLLER-SCHMIDT;Anne;Mme;28/02/1976;Allemande;;10/10/2011;;CDI;TAM;Superviseure back-office;Temps plein;3 310,20;G;"Tréma + trait d’union ; civilité « Mme » au lieu du sexe"
DA SILVA PEREIRA;João;M;07/12/1982;Portugaise;;05/05/2014;;CDI;Employé;Gestionnaire back-office;Temps plein;2 510;C;Civilité « M. » au lieu du sexe
BOUZIANE;Karim;H;02/09/2004;Française;;01/09/2024;;Apprentissage;Employé;Apprenti conseiller clientèle;Temps plein;1 210;A;APPRENTI — doit être écarté de l’index
FOURNIER;Léa;F;11/06/2002;Française;;01/10/2024;;Contrat de professionnalisation;Employé;Chargée d’accueil;Temps plein;1 480;A;CONTRAT PRO — doit être écarté de l’index
OKONKWO;Chidi;H;25/01/1995;Nigériane;Carte de séjour pluriannuelle;03/03/2025;;Intérim;Employé;Renfort guichet;Temps plein;2 200;B;INTÉRIMAIRE — mis à disposition, écarté de l’index et de l’effectif
TRAN;Minh;H;30/08/2003;Vietnamienne;Visa long séjour (VLS-TS);06/01/2026;30/06/2026;Stage;Employé;Stagiaire conformité;Temps plein;620;;STAGIAIRE — non salarié, hors effectif et hors index
MARCHAND;Clotilde;F;17/04/1990;Française;;02/11/2025;;CDI;Employé;Conseillère clientèle;Temps plein;2 580;D;Entrée en novembre 2025 — moins de six mois sur 2025
ROUSSEAU;Gilbert;H;09/02/1961;Française;;01/03/1989;31/03/2025;CDI;Cadre;Directeur adjoint;Temps plein;6 200;J;Sorti en mars 2025 — trois mois de présence
LAMBERT;Sylvie;F;23/09/1964;Française;;01/06/1992;31/12/2024;CDI;TAM;Responsable de secteur;Temps plein;3 900;H;Sortie AVANT la période 2025 — hors calcul
