EXTRACTION PAIE — Établissement principal et agences
Éditée le 07/08/2026 par le service des ressources humaines

Matricule;Établissement;Nom;Prénom;Sexe;Date de naissance;Nationalité;Titre de séjour;Date d'entrée;Date de sortie;Type de contrat;Statut;Service;Emploi;Temps de travail;Salaire mensuel brut;Coefficient;Observations
M01001;Agence Nord;ABERKANE;Yasmine;F;1979-04-12;Française;;2006-09-01;;CDI;Cadre;Réseau;Directrice d'agence;Temps plein;5 240,00;K;Dates au format AAAA-MM-JJ
M01002;Agence Sud;BOUCHARD;Rémi;H;03-11-1984;Française;;15-01-2011;;CDI;TAM;Réseau;Analyste crédit;Temps plein;3 480;F;Dates séparées par des tirets
M01003;Siège;CAZENAVE;Ophélie;F;22/06/1990;Française;;01/09/2015;;CDI;Employé;Réseau;Conseillère clientèle;Temps plein;2 690;D;Format classique JJ/MM/AAAA
M01004;Siège;DAOUD;Farid;H;09/02/1981;Algérienne;Carte de résident;01/03/2012;;CDI;Cadre;Réseau;Chargé d’affaires entreprises;Temps plein;4 820,50 €;I;Espace insécable et symbole euro
M01005;Siège;ESPOSITO;Giulia;F;17/08/1987;Italienne;;01/06/2013;;CDI;TAM;Réseau;Chargée d’études;Temps plein;3.150,00;F;Point comme séparateur de milliers
M01006;Siège;FAGET;Bruno;H;30/01/1975;Française;;01/04/2003;;CDI;Cadre;Réseau;Auditeur interne;Temps plein;NC;I;Salaire écrit « NC » — ne doit pas devenir zéro
M01007;Siège;GHERBI;Sofia;F;14/05/1992;Marocaine;Carte de séjour pluriannuelle;01/02/2018;;CDI;Employé;Réseau;Gestionnaire back-office;Temps plein;2 470 euros;C;Montant suivi du mot « euros »
M01008;Agence Est;HADJ-SLIMANE;Nour;F;02/12/1986;Tunisienne;Titre de séjour;01/09/2014;;CDI;TAM;Réseau;Responsable d’unité;Temps plein;3 390;G;"Poste réorganisé ; rattachement modifié ; suivi RH en cours"
M01009;Siège;IZARD;Jean-Luc;H;25/09/1969;Française;;01/10/1996;;CDI;Cadre;Réseau;"Directeur ""grands comptes""";Temps plein;6 480;K;Guillemets droits dans le libellé d’emploi
M01010;Siège;JOUANNO;Maëlle;F;11/07/1994;Française;;01/09/2020;31/08/2019;CDI;Employé;Réseau;Conseillère clientèle;Temps plein;2 610;D;SORTIE ANTÉRIEURE À L’ENTRÉE
M01011;Siège;KRUGER;Lena;F;03/03/2012;Allemande;;01/09/2025;;Apprentissage;Employé;Réseau;Apprentie;Temps plein;820;A;NÉE EN 2012 — quatorze ans, en dessous de l’âge légal
M01012;Siège;LAURENS;Anne-Marie;F;18/04/1949;Française;;01/01/1972;;CDI;Employé;Réseau;Chargée d’accueil;Temps plein;2 380;C;SOIXANTE-DIX-SEPT ANS — à vérifier
M01013;Siège;MAZOUZ;Idriss;H;20/10/1998;Française;;01/07/2024;;CDD accroissement;Employé;Réseau;Chargé de recouvrement;Temps plein;2 300;B;CDD SANS TERME — L.1242-12
M01014;Siège;NOUVEL;Théo;H;05/05/1999;Française;;01/03/2023;;CDI;Employé;Réseau;Conseiller clientèle;Temps plein;1 350;B;SALAIRE MENSUEL INFÉRIEUR AU SMIC POUR UN TEMPS PLEIN
M01015;Siège;MARTIN;Sophie;F;12/01/1985;Française;;01/09/2010;;CDI;TAM;Réseau;Superviseure back-office;Temps plein;3 260;F;HOMONYME n°1 — même nom, même prénom, autre date de naissance
M01016;Siège;MARTIN;Sophie;F;30/06/1991;Française;;01/04/2017;;CDI;Employé;Réseau;Conseillère clientèle;Temps plein;2 640;D;HOMONYME n°2
M01017;Siège;  perrot  ;  lucie  ; f ; 08/09/1983 ; Française ;; 01/02/2011 ;; CDI ; employé ;Réseau;Chargée de clientèle; temps plein ; 2 720 ; D ;Tout en minuscules, entouré d’espaces
M01018;Siège;OULD-KACI;Amine;Masculin;27/11/1988;Algérienne;Carte de résident;01/05/2016;;CDI;Technicien;Réseau;Technicien des métiers de la banque;Temps complet;3 180;E;Sexe « Masculin », temps « Temps complet »
M01019;Siège;PARMENTIER;Élise;Féminin;19/02/1980;Française;;01/09/2007;;C.D.I.;Agent de maîtrise;Réseau;Animatrice commerciale;Mi-temps;1 690;E;Sexe « Féminin », contrat « C.D.I. », « Mi-temps »
M01020;Siège;QUEFFÉLEC;Gwenaëlle;F;04/04/1977;Française;;01/09/2004;;CDI;Cadre dirigeant;Réseau;Directrice de la conformité et du contrôle permanent des risques opérationnels;Forfait jours;7 950;K;Statut hors liste, libellé d’emploi très long
M01021;Siège;RAKOTOARISOA;Hery;H;16/06/1983;Malgache;Carte de séjour pluriannuelle;01/03/2019;;CDI intérimaire;Employé;Réseau;Gestionnaire de flux;Temps plein;2 590;C;Type de contrat « CDI intérimaire »
M01022;Siège;SVENSSON;Erik;H;21/12/1979;Suédoise;;01/09/2021;;Portage salarial;Cadre;Réseau;Consultant conformité;Temps plein;5 100;J;Portage salarial — hors effectif ?
M01023;Siège;TESSIER;;;;;;;;;;Réseau;;;;;LIGNE PRESQUE VIDE — un nom et rien d’autre
M01024;Siège;URBAIN;Louis;H;01/09/2005;Française;;01/09/2025;;Apprentissage;Employé;Réseau;Apprenti chargé d’accueil;Temps plein;1 190;A;APPRENTI
M01025;Siège;VIEIRA;Ines;F;22/03/2001;Portugaise;;01/10/2024;;Contrat de professionnalisation;Employé;Réseau;Chargée de clientèle en alternance;Temps plein;1 520;A;CONTRAT PRO
M01026;Siège;WATTIER;Paul;H;13/08/1996;Française;;02/01/2025;;Intérim;Employé;Réseau;Renfort back-office;Temps plein;2 250;B;INTÉRIMAIRE
M01027;Siège;XAVIER;Rosa;F;30/07/2004;Brésilienne;Visa long séjour (VLS-TS);01/02/2026;31/07/2026;Stage;Employé;Réseau;Stagiaire marketing;Temps plein;640;;STAGIAIRE
M01028;Siège;YOUNES;Dalila;F;08/01/1989;Française;;01/10/2025;;CDI;Employé;Réseau;Conseillère clientèle;Temps plein;2 620;D;Entrée en octobre 2025 — trois mois sur la période
M01029;Siège;ZANI;Marco;H;17/05/1966;Italienne;;01/09/1994;30/04/2025;CDI;Cadre;Réseau;Directeur d’agence;Temps plein;6 050;J;Sorti en avril 2025 — quatre mois
M01030;Siège;ABADIE;Colette;F;02/02/1963;Française;;01/03/1988;30/11/2024;CDI;TAM;Réseau;Responsable de secteur;Temps plein;3 820;G;Sortie AVANT la période 2025
M01031;Siège;BEAULIEU;Sandra;F;01/01/1985;Française;;01/09/2012;;CDI;Employé;Réseau;Conseiller(ère) clientèle;80%;2 180;D;Pourcentage collé au chiffre
M01032;Siège;CHAUVET;Nadège;F;01/01/1985;Française;;01/09/2012;;CDI;Employé;Réseau;Conseiller(ère) clientèle;17,5 h;1 340;D;Quotité exprimée en heures
M01033;Siège;DELORME;Fabien;H;01/01/1985;Française;;01/09/2012;;CDI;Employé;Réseau;Conseiller(ère) clientèle;Temps partiel;1 620;D;Sans quotité — 50 % par défaut
M01034;Siège;ESTEVES;Rita;F;01/01/1985;Française;;01/09/2012;;CDI;Employé;Réseau;Conseiller(ère) clientèle;0.6;1 590;D;Fraction avec un point
M01035;Siège;FLEURIOT;Gaëlle;F;01/01/1985;Française;;01/09/2012;;CDI;Employé;Réseau;Conseiller(ère) clientèle;90 %;2 380;D;Quotité élevée
M01036;Siège;GAILLARD;Martine;F;01/03/1970;Française;;01/09/1998;;CDI;Cadre;Réseau;Chargé(e) d’affaires senior;Temps plein;5 100;J;Groupe cadres 50+ — écart marqué
M01037;Siège;HERNANDEZ;Pilar;F;02/03/1970;Française;;01/09/1998;;CDI;Cadre;Réseau;Chargé(e) d’affaires senior;Temps plein;5 050;J;Groupe cadres 50+ — écart marqué
M01038;Siège;ISSARTEL;Chantal;F;03/03/1970;Française;;01/09/1998;;CDI;Cadre;Réseau;Chargé(e) d’affaires senior;Temps plein;4 980;J;Groupe cadres 50+ — écart marqué
M01039;Siège;JAMET;Alain;H;04/03/1970;Française;;01/09/1998;;CDI;Cadre;Réseau;Chargé(e) d’affaires senior;Temps plein;6 400;J;Groupe cadres 50+ — écart marqué
M01040;Siège;KESSLER;Bernard;H;05/03/1970;Française;;01/09/1998;;CDI;Cadre;Réseau;Chargé(e) d’affaires senior;Temps plein;6 550;J;Groupe cadres 50+ — écart marqué
M01041;Siège;LEMERCIER;Claude;H;06/03/1970;Française;;01/09/1998;;CDI;Cadre;Réseau;Chargé(e) d’affaires senior;Temps plein;6 310;J;Groupe cadres 50+ — écart marqué
M01042;Siège;MOULIN;Aurore;F;01/08/1990;Française;;01/09/2016;;CDI;Employé;Réseau;Conseiller(ère) clientèle;Temps plein;3 120;D;Groupe employés 30-39 — femmes mieux rémunérées
M01043;Siège;NAVARRO;Célia;F;02/08/1990;Française;;01/09/2016;;CDI;Employé;Réseau;Conseiller(ère) clientèle;Temps plein;3 180;D;Groupe employés 30-39 — femmes mieux rémunérées
M01044;Siège;ORTEGA;Lucie;F;03/08/1990;Française;;01/09/2016;;CDI;Employé;Réseau;Conseiller(ère) clientèle;Temps plein;3 090;D;Groupe employés 30-39 — femmes mieux rémunérées
M01045;Siège;PAVAN;Damien;H;04/08/1990;Française;;01/09/2016;;CDI;Employé;Réseau;Conseiller(ère) clientèle;Temps plein;2 610;D;Groupe employés 30-39 — femmes mieux rémunérées
M01046;Siège;QUILICI;Enzo;H;05/08/1990;Française;;01/09/2016;;CDI;Employé;Réseau;Conseiller(ère) clientèle;Temps plein;2 580;D;Groupe employés 30-39 — femmes mieux rémunérées
M01047;Siège;ROSSI;Fabio;H;06/08/1990;Française;;01/09/2016;;CDI;Employé;Réseau;Conseiller(ère) clientèle;Temps plein;2 640;D;Groupe employés 30-39 — femmes mieux rémunérées
M01048;Siège;SAUVAGEOT;Irène;F;01/05/1978;Française;;01/09/2005;;CDI;TAM;Réseau;Technicien(ne) des métiers de la banque;Temps plein;3 400;F;Groupe TAM 40-49 — trois et trois, le seuil exactement
M01049;Siège;TAILLEFER;Josée;F;02/05/1978;Française;;01/09/2005;;CDI;TAM;Réseau;Technicien(ne) des métiers de la banque;Temps plein;3 380;F;Groupe TAM 40-49 — trois et trois, le seuil exactement
